probabilitati
60
60
46.5
60
60
60
60
52.5
52.5
48
54
57
55.5
54
51
30
60
60
60
58.5
58.5
55.5
55.5
46.5
45
45
43.5
43.5
51
51
43.5
43.5
43.5
60
43.5
39
30
60
60
49.5
49.5
45
60
60
52.5
48
46.5
45
45
45
39
37.5
34.5
58.5
57
52.5
60
58.5
55.5
52.5
46.5
43.5
42
37.5
37.5
55.5
45
40.5
33
60
57
51
51
51
49.5
48
46.5
43.5
43.5
42
39
36
34.5
34.5
30
60
60
52.5
49.5
49.5
48
43.5
43.5
43.5
40.5
39
36
60
57
55.5
45
45
40.5
40.5
39
37.5
36
36
34.5
34.5
34.5
31.mai
30
60
57
49.5
45
43.5
43.5
42
39
36
34.5
33
31.mai
60
57
54
51
49.5
49.5
48
46.5
45
45
43.5
43.5
40.5
40.5
39
39
39
37.5
36
34.5
34.5
33
33
31.mai
31.mai
30
30
30
30
30
43.5
52.5
52.5
49.5
46.5
46.5
39
39
39
36
36
34.5
34.5
33
33
31.mai
31.mai
30
30
54
52.5
49.5
46.5
46.5
43.5
39
34.5
30
30
27
27
51
42
40.5
37.5
37.5
37.5
37.5
34.5
34.5
33
31.mai
30
28.mai
58.5
51
48
46.5
46.5
40.5
40.5
39
39
37.5
37.5
36
36
36
36
36
34.5
34.5
34.5
34.5
34.5
33
31.mai
31.mai
31.mai
31.mai
30
30
30
30
30
30
30
30
27
27
25.mai
25.mai
40.5
40.5
40.5
40.5
37.5
36
36
34.5
33
33
33
31.mai
31.mai
31.mai
31.mai
31.mai
31.mai
21
33
60
49.5
46.5
45
43.5
43.5
43.5
43.5
42
42
42
40.5
39
37.5
37.5
37.5
36
36
36
36
34.5
33
33
33
33
33
25.mai
34.5
34.5
30
27
45
40.5
39
37.5
37.5
37.5
37.5
36
36
33
31.mai
42
42
40.5
37.5
34.5
30
30
25.mai
48
43.5
40.5
39
39
34.5
33
31.mai
30
30
28.mai
28.mai
27
43.5
37.5
30
28.mai
27
27
34.5
30
30
28.mai
28.mai
27
25.mai
25.mai
22.mai
34.5
33
31.mai
30
30
30
30
30
28.mai
34.5
28.mai
27
25.mai
18
36
27
25.mai
52.5
27
25.mai
